,Rk,Year,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,WS,WS/48,Born2,College2,Pos2
0,1,2009,1,LAC,Blake Griffin,20.106,F,us,Oklahoma,2011.0,2020.0,622.0,34.8,75.2,0.167,USA,1,Forward
1,2,2009,2,MEM,Hasheem Thabeet,22.135,C,tz,UConn,2010.0,2014.0,224.0,10.5,4.8,0.099,World,1,Center
2,3,2009,3,OKC,James Harden,19.308,G,us,Arizona State,2010.0,2020.0,826.0,34.3,133.3,0.226,USA,1,Guard
3,4,2009,4,SAC,Tyreke Evans,19.284,G-F,us,Memphis,2010.0,2019.0,594.0,30.7,28.4,0.075,USA,1,Swingman
4,5,2009,5,MIN,Ricky Rubio,18.252,G,es,,2012.0,2020.0,555.0,30.9,36.4,0.102,World,0,Guard
5,6,2009,6,MIN,Jonny Flynn,20.144,G,us,Syracuse,2010.0,2012.0,163.0,22.9,-1.1,-0.015,USA,1,Guard
6,7,2009,7,GSW,Stephen Curry,21.108,G,us,Davidson,2010.0,2020.0,699.0,34.3,103.2,0.207,USA,1,Guard
7,8,2009,8,NYK,Jordan Hill,21.339,C-F,us,Arizona,2010.0,2017.0,409.0,18.8,16.4,0.102,USA,1,Big
8,9,2009,9,TOR,DeMar DeRozan,19.327,G-F,us,USC,2010.0,2020.0,813.0,34.2,66.5,0.115,USA,1,Swingman
9,10,2009,10,MIL,Brandon Jennings,19.28,G,us,,2010.0,2018.0,555.0,30.3,29.9,0.085,USA,0,Guard
10,11,2009,11,NJN,Terrence Williams,22.003,F,us,Louisville,2010.0,2013.0,153.0,19.1,-0.2,-0.004,USA,1,Forward
11,12,2009,12,CHA,Gerald Henderson,21.204,G,us,Duke,2010.0,2017.0,535.0,25.9,18.3,0.063,USA,1,Guard
12,13,2009,13,IND,Tyler Hansbrough,23.24,F,us,UNC,2010.0,2016.0,428.0,16.9,20.2,0.134,USA,1,Forward
13,14,2009,14,PHO,Earl Clark,21.165,F,us,Louisville,2010.0,2015.0,261.0,13.9,2.9,0.038,USA,1,Forward
14,15,2009,15,DET,Austin Daye,21.025,F,us,Gonzaga,2010.0,2015.0,293.0,14.1,4.5,0.053,USA,1,Forward
15,16,2009,16,CHI,James Johnson,22.131,F,us,Wake Forest,2010.0,2020.0,634.0,20.6,24.6,0.09,USA,1,Forward
16,17,2009,17,PHI,Jrue Holiday,19.018,G,us,UCLA,2010.0,2020.0,707.0,33.3,43.0,0.088,USA,1,Guard
17,18,2009,18,MIN,Ty Lawson,21.24,G,us,UNC,2010.0,2017.0,551.0,29.2,42.1,0.126,USA,1,Guard
18,19,2009,19,ATL,Jeff Teague,21.02,G,us,Wake Forest,2010.0,2020.0,771.0,27.5,50.8,0.115,USA,1,Guard
19,20,2009,20,UTA,Eric Maynor,22.02,G,us,Virginia Commonwealth,2010.0,2014.0,267.0,14.6,3.3,0.041,USA,1,Guard
20,21,2009,21,NOH,Darren Collison,21.312,G,us,UCLA,2010.0,2019.0,708.0,29.4,49.9,0.115,USA,1,Guard
21,22,2009,22,POR,Victor Claver,20.304,F,es,,2013.0,2015.0,80.0,13.4,0.2,0.011,World,0,Forward
22,23,2009,23,SAC,Omri Casspi,21.008,F,il,,2010.0,2019.0,588.0,20.3,19.6,0.078,World,0,Forward
23,24,2009,24,DAL,Byron Mullens,20.136,C,us,Ohio State,2010.0,2014.0,189.0,18.2,0.6,0.008,USA,1,Center
24,25,2009,25,OKC,Rodrigue Beaubois,21.127,G,gp,,2010.0,2013.0,182.0,15.9,4.8,0.079,World,0,Guard
25,26,2009,26,CHI,Taj Gibson,24.007,F,us,USC,2010.0,2020.0,799.0,25.1,52.4,0.125,USA,1,Forward
26,27,2009,27,MEM,DeMarre Carroll,22.339,F,us,Missouri,2010.0,2020.0,575.0,23.7,29.4,0.104,USA,1,Forward
27,28,2009,28,MIN,Wayne Ellington,21.214,G,us,UNC,2010.0,2020.0,681.0,21.0,18.2,0.061,USA,1,Guard
28,29,2009,29,LAL,Toney Douglas,23.107,G,us,Florida State,2010.0,2017.0,394.0,19.1,12.1,0.077,USA,1,Guard
29,30,2009,30,CLE,Christian Eyenga,20.008,F,cd,,2011.0,2012.0,51.0,20.6,-0.4,-0.02,World,0,Forward
30,31,2008,1,CHI,Derrick Rose,19.27,G,us,Memphis,2009.0,2020.0,596.0,32.6,39.7,0.098,USA,1,Guard
31,32,2008,2,MIA,Michael Beasley,19.173,F,us,Kansas State,2009.0,2019.0,609.0,22.8,15.6,0.054,USA,1,Forward
32,33,2008,3,MIN,O.J. Mayo,20.239,G,us,USC,2009.0,2016.0,547.0,30.9,21.8,0.062,USA,1,Guard
33,34,2008,4,SEA,Russell Westbrook,19.231,G,us,UCLA,2009.0,2020.0,874.0,34.6,101.3,0.161,USA,1,Guard
34,35,2008,5,MEM,Kevin Love,19.297,F,us,UCLA,2009.0,2020.0,713.0,32.0,82.0,0.173,USA,1,Forward
35,36,2008,6,NYK,Danilo Gallinari,19.327,F,it,,2009.0,2020.0,604.0,31.0,56.1,0.144,World,0,Forward
36,37,2008,7,LAC,Eric Gordon,19.188,G,us,Indiana,2009.0,2020.0,663.0,32.8,34.3,0.076,USA,1,Guard
37,38,2008,8,MIL,Joe Alexander,21.188,F,tw,West Virginia,2009.0,2010.0,67.0,11.1,0.5,0.03,World,1,Forward
38,39,2008,9,CHA,D.J. Augustin,20.234,G,us,Texas,2009.0,2020.0,856.0,24.1,44.5,0.103,USA,1,Guard
39,40,2008,10,NJN,Brook Lopez,20.091,C,us,Stanford,2009.0,2020.0,778.0,30.6,64.7,0.13,USA,1,Center
40,41,2008,11,IND,Jerryd Bayless,19.315,G,us,Arizona,2009.0,2019.0,586.0,21.3,18.6,0.072,USA,1,Guard
41,42,2008,12,SAC,Jason Thompson,21.346,F-C,us,Rider University,2009.0,2016.0,588.0,25.2,23.8,0.077,USA,1,Big
42,43,2008,13,POR,Brandon Rush,22.36,G-F,us,Kansas,2009.0,2017.0,481.0,22.0,11.2,0.051,USA,1,Swingman
43,44,2008,14,GSW,Anthony Randolph,18.351,F,de,LSU,2009.0,2014.0,252.0,15.2,5.8,0.072,World,1,Forward
44,45,2008,15,PHO,Robin Lopez,20.091,C,us,Stanford,2009.0,2020.0,826.0,22.4,44.7,0.116,USA,1,Center
45,46,2008,16,PHI,Marreese Speights,20.332,C-F,us,Florida,2009.0,2018.0,705.0,15.1,25.8,0.116,USA,1,Big
46,47,2008,17,TOR,Roy Hibbert,21.203,C,us,Georgetown,2009.0,2017.0,662.0,24.8,35.9,0.105,USA,1,Center
47,48,2008,18,WAS,JaVale McGee,20.164,C,us,Nevada,2009.0,2020.0,694.0,17.3,36.4,0.145,USA,1,Center
48,49,2008,19,CLE,J.J. Hickson,19.3,F-C,us,NC State,2009.0,2016.0,534.0,22.3,21.9,0.088,USA,1,Big
49,50,2008,20,CHA,Alexis Ajina,20.056,C-F,fr,,2009.0,2017.0,293.0,13.3,7.5,0.093,World,0,Big
50,51,2008,21,NJN,Ryan Anderson,20.056,F,us,California,2009.0,2020.0,649.0,25.8,46.7,0.134,USA,1,Forward
51,52,2008,22,ORL,Courtney Lee,22.272,G,us,Western Kentucky,2009.0,2020.0,811.0,27.1,39.4,0.086,USA,1,Guard
52,53,2008,23,UTA,Kosta Koufos,19.127,C,us,Ohio State,2009.0,2019.0,686.0,16.4,28.3,0.12,USA,1,Center
53,54,2008,24,SEA,Serge Ibaka,18.286,F-C,cg,,2010.0,2020.0,803.0,28.6,67.8,0.141,World,0,Big
54,55,2008,25,HOU,Nicolas Batum,19.199,F-G,fr,,2009.0,2020.0,789.0,31.3,54.7,0.106,World,0,Swingman
55,56,2008,26,SAS,George Hill,22.059,G,us,IUPUI,2009.0,2020.0,778.0,27.7,65.0,0.145,USA,1,Guard
56,57,2008,27,NOH,Darrell Arthur,20.098,F,us,Kansas,2009.0,2018.0,503.0,17.8,12.3,0.066,USA,1,Forward
57,58,2008,28,MEM,Dont Greene,20.131,F,de,Syracuse,2009.0,2012.0,253.0,16.8,1.5,0.017,World,1,Forward
58,59,2008,29,DET,D.J. White,21.305,F,us,Indiana,2009.0,2014.0,138.0,15.3,3.8,0.087,USA,1,Forward
59,60,2008,30,BOS,J.R. Giddens,23.139,G,us,New Mexico,2009.0,2010.0,38.0,6.5,0.1,0.027,USA,1,Guard
60,61,2007,1,POR,Greg Oden,19.162,C,us,Ohio State,2009.0,2014.0,105.0,19.3,7.3,0.174,USA,1,Center
61,62,2007,2,SEA,Kevin Durant,18.276,F-G,us,Texas,2008.0,2019.0,849.0,36.9,141.7,0.217,USA,1,Swingman
62,63,2007,3,ATL,Al Horford,21.03,C-F,do,Florida,2008.0,2020.0,846.0,32.7,90.7,0.158,World,1,Big
63,64,2007,4,MEM,Mike Conley,19.265,G,us,Ohio State,2008.0,2020.0,829.0,32.4,73.5,0.131,USA,1,Guard
64,65,2007,5,BOS,Jeff Green,20.309,F,us,Georgetown,2008.0,2020.0,900.0,29.5,41.6,0.075,USA,1,Forward
65,66,2007,6,MIL,Yi Jianlian,19.249,F,cn,,2008.0,2012.0,272.0,22.2,3.1,0.025,World,0,Forward
66,67,2007,7,MIN,Corey Brewer,21.12,F-G,us,Florida,2008.0,2019.0,814.0,23.0,22.5,0.058,USA,1,Swingman
67,68,2007,8,CHA,Brandan Wright,19.271,F-C,us,UNC,2008.0,2018.0,428.0,16.2,26.2,0.181,USA,1,Big
68,69,2007,9,CHI,Joakim Noah,22.128,C,us,Florida,2008.0,2019.0,667.0,27.9,61.8,0.16,USA,1,Center
69,70,2007,10,SAC,Spencer Hawes,19.065,C-F,us,Washington,2008.0,2017.0,684.0,22.7,22.6,0.07,USA,1,Big
