,Rk,Year,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,WS,WS/48,Born2,College2,Pos2
70,71,2007,11,ATL,Acie Law,22.159,G,us,Texas A&M,2008.0,2011.0,188.0,12.7,1.6,0.032,USA,1,Guard
71,72,2007,12,PHI,Thaddeus Young,19.011,F,us,Georgia Tech,2008.0,2020.0,965.0,30.3,61.6,0.101,USA,1,Forward
72,73,2007,13,NOK,Julian Wright,20.044,F,us,Kansas,2008.0,2011.0,231.0,13.2,3.9,0.061,USA,1,Forward
73,74,2007,14,LAC,Al Thornton,23.209,F,us,Florida State,2008.0,2011.0,296.0,28.0,6.1,0.035,USA,1,Forward
74,75,2007,15,DET,Rodney Stuckey,21.073,G,us,Eastern Washington,2008.0,2017.0,651.0,27.5,28.7,0.077,USA,1,Guard
75,76,2007,16,WAS,Nick Young,22.032,G-F,us,USC,2008.0,2019.0,720.0,22.8,18.6,0.054,USA,1,Swingman
76,77,2007,17,NJN,Sean Williams,20.293,C-F,us,Boston College,2008.0,2012.0,137.0,14.4,3.0,0.073,USA,1,Big
77,78,2007,18,GSW,Marco Belinelli,21.1,G-F,it,,2008.0,2020.0,855.0,22.7,30.2,0.075,World,0,Swingman
78,79,2007,19,LAL,Javaris Crittenton,19.184,G,us,Georgia Tech,2008.0,2009.0,113.0,16.4,0.1,0.002,USA,1,Guard
79,80,2007,20,MIA,Jason Smith,21.123,F-C,us,Colorado State,2008.0,2019.0,616.0,16.3,14.1,0.067,USA,1,Big
80,81,2007,21,PHI,Daequan Cook,20.066,G,us,Ohio State,2008.0,2013.0,328.0,18.3,4.9,0.039,USA,1,Guard
81,82,2007,22,CHA,Jared Dudley,21.358,F-G,us,Boston College,2008.0,2020.0,887.0,22.5,42.8,0.103,USA,1,Swingman
82,83,2007,23,NYK,Wilson Chandler,20.054,F,us,DePaul,2008.0,2020.0,676.0,30.0,29.0,0.069,USA,1,Forward
83,84,2007,24,PHO,Rudy Fernndez,22.09,G,es,,2009.0,2012.0,249.0,24.0,14.2,0.114,World,0,Guard
